STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",15-02-1960,,,,,,936,0,,0,0,,36,20,,,,,270,,,,,,47.2,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",16-02-1960,,,,,,142,0,,0,0,,42,28,,,,,293,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",17-02-1960,,,,,,106,0,,0,0,,47,32,,,,,225,,,,,,17.2,,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",18-02-1960,,,,,,2342,0.2,,0,0,,49,34,,,,,90,,,,,,43.6,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",19-02-1960,,,,,,236,1.33,,0.1,0,,44,32,,,,,90,,,,,,59.7,,1,,,,,,,1,,,,,,,1,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",20-02-1960,,,,,,1248,0.01,,0.2,0,,40,30,,,,,315,,,,,,47.2,,,,,,,,,,,,,,,,1,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",21-02-1960,,,,,,936,0,,0,0,,41,29,,,,,293,,,,,,34.4,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",22-02-1960,,,,,,1548,0,,0,0,,41,25,,,,,90,,,,,,19.5,,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",23-02-1960,,,,,,2224,0,,0,0,,40,25,,,,,293,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",24-02-1960,,,,,,230,0,,0,0,,41,26,,,,,293,,,,,,30,,,,,,,,,,,,,,,,,,,,,
